log_ret,date,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,sentiment_LM,Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,Component10,Component11,Component12,Component13,Component14,Component15,Component16,Component17,Component18,Component19,Component20,Component1LM,Component2LM,Component3LM,Component4LM,Component5LM,Component6LM,Component7LM,Component8LM,Component9LM,Component10LM
0.024653348,2016-01-13,0.0037581699346405,0.0034313725490196,0.004656862745098,0.0033496732026143,0.0033496732026143,0.0035130718954248,0.0032679738562091,0.0034313725490196,0.0043300653594771,0.0035130718954248,0.0042483660130718,0.0032679738562091,0.0032679738562091,0.0034313725490196,0.0032679738562091,0.0044934640522875,0.0034313725490196,0.0033496732026143,0.0033496732026143,0.0036764705882352,0.0040849673202614,0.0042483660130718,0.0034313725490196,0.0033496732026143,0.0033496732026143,0.0033496732026143,0.0034313725490196,0.00359477124183,0.013235294117647,0.0032679738562091,0.0037581699346405,0.0033496732026143,0.0037581699346405,0.0048202614379084,0.0034313725490196,0.0036764705882352,0.0038398692810457,0.004656862745098,0.00359477124183,0.3039215686274509,0.005392156862745,0.0053104575163398,0.0034313725490196,0.0034313725490196,0.0033496732026143,0.0035130718954248,0.0036764705882352,0.0038398692810457,0.0032679738562091,0.0036764705882352,0.0033496732026143,0.0037581699346405,0.0039215686274509,0.0039215686274509,0.0066993464052287,0.0036764705882352,0.0045751633986928,0.0032679738562091,0.0036764705882352,0.2885620915032679,0.0039215686274509,0.00359477124183,0.0341503267973856,0.0038398692810457,0.0032679738562091,0.0034313725490196,0.0033496732026143,0.004656862745098,0.0045751633986928,0.0056372549019607,0.0043300653594771,0.0033496732026143,0.0033496732026143,0.0034313725490196,0.00359477124183,0.0032679738562091,0.00359477124183,0.0033496732026143,0.0043300653594771,0.0034313725490196,0.0036764705882352,0.0044934640522875,0.0040849673202614,0.0035130718954248,0.0039215686274509,0.00359477124183,0.0040849673202614,0.0032679738562091,0.0032679738562091,0.0034313725490196,0.0033496732026143,0.0032679738562091,0.0033496732026143,0.0033496732026143,0.0040032679738562,0.0037581699346405,0.00359477124183,0.0032679738562091,0.0041666666666666,0.0032679738562091,0.003378378378378379,1.98072138043335,-0.105661181146917,-1.18344235214673,0.779580565133226,0.0322611646885163,3.49640166564177,-2.42876116064754,1.28994859157013,0.0653518808048687,-1.22861380658436,2.00513925219274,0.583083844293296,1.1202204606626,1.84437051199116,0.473706752918234,1.02684159870306,-1.20718843879715,0.028854373336479,0.173793212190349,0.957467803444857,1.65593493808562,-0.0466633486234835,-0.124881152853202,-0.135105721173018,0.274080089428524,-0.141663248057418,-0.624062155979689,0.019274966276156,-0.334163937201651,0.0677186412246909
-0.032606451,2016-01-14,0.0037581699346405,0.0034313725490196,0.004656862745098,0.0033496732026143,0.0033496732026143,0.0035130718954248,0.0032679738562091,0.0034313725490196,0.0043300653594771,0.0035130718954248,0.0042483660130718,0.0032679738562091,0.0032679738562091,0.0034313725490196,0.0032679738562091,0.0044934640522875,0.0034313725490196,0.0033496732026143,0.0033496732026143,0.0036764705882352,0.0040849673202614,0.0042483660130718,0.0034313725490196,0.0033496732026143,0.0033496732026143,0.0033496732026143,0.0034313725490196,0.00359477124183,0.013235294117647,0.0032679738562091,0.0037581699346405,0.0033496732026143,0.0037581699346405,0.0048202614379084,0.0034313725490196,0.0036764705882352,0.0038398692810457,0.004656862745098,0.00359477124183,0.3039215686274509,0.005392156862745,0.0053104575163398,0.0034313725490196,0.0034313725490196,0.0033496732026143,0.0035130718954248,0.0036764705882352,0.0038398692810457,0.0032679738562091,0.0036764705882352,0.0033496732026143,0.0037581699346405,0.0039215686274509,0.0039215686274509,0.0066993464052287,0.0036764705882352,0.0045751633986928,0.0032679738562091,0.0036764705882352,0.2885620915032679,0.0039215686274509,0.00359477124183,0.0341503267973856,0.0038398692810457,0.0032679738562091,0.0034313725490196,0.0033496732026143,0.004656862745098,0.0045751633986928,0.0056372549019607,0.0043300653594771,0.0033496732026143,0.0033496732026143,0.0034313725490196,0.00359477124183,0.0032679738562091,0.00359477124183,0.0033496732026143,0.0043300653594771,0.0034313725490196,0.0036764705882352,0.0044934640522875,0.0040849673202614,0.0035130718954248,0.0039215686274509,0.00359477124183,0.0040849673202614,0.0032679738562091,0.0032679738562091,0.0034313725490196,0.0033496732026143,0.0032679738562091,0.0033496732026143,0.0033496732026143,0.0040032679738562,0.0037581699346405,0.00359477124183,0.0032679738562091,0.0041666666666666,0.0032679738562091,0.003378378378378379,1.98072138043335,-0.10566118114691,-1.18344235214674,0.779580565133235,0.0322611646885115,3.49640166564178,-2.42876116064754,1.28994859157014,0.0653518808048627,-1.22861380658436,2.00513925219275,0.583083844293298,1.1202204606626,1.84437051199116,0.473706752918235,1.02684159870306,-1.20718843879716,0.0288543733364801,0.17379321219035,0.957467803444858,1.65593493808554,-0.0466633486234762,-0.124881152853233,-0.135105721173018,0.274080089428527,-0.14166324805744,-0.624062155979648,0.0192749662761298,-0.334163937201636,0.0677186412247062
0.004484492,2016-01-15,0.0037581699346405,0.0034313725490196,0.004656862745098,0.0033496732026143,0.0033496732026143,0.0035130718954248,0.0032679738562091,0.0034313725490196,0.0043300653594771,0.0035130718954248,0.0042483660130718,0.0032679738562091,0.0032679738562091,0.0034313725490196,0.0032679738562091,0.0044934640522875,0.0034313725490196,0.0033496732026143,0.0033496732026143,0.0036764705882352,0.0040849673202614,0.0042483660130718,0.0034313725490196,0.0033496732026143,0.0033496732026143,0.0033496732026143,0.0034313725490196,0.00359477124183,0.013235294117647,0.0032679738562091,0.0037581699346405,0.0033496732026143,0.0037581699346405,0.0048202614379084,0.0034313725490196,0.0036764705882352,0.0038398692810457,0.004656862745098,0.00359477124183,0.3039215686274509,0.005392156862745,0.0053104575163398,0.0034313725490196,0.0034313725490196,0.0033496732026143,0.0035130718954248,0.0036764705882352,0.0038398692810457,0.0032679738562091,0.0036764705882352,0.0033496732026143,0.0037581699346405,0.0039215686274509,0.0039215686274509,0.0066993464052287,0.0036764705882352,0.0045751633986928,0.0032679738562091,0.0036764705882352,0.2885620915032679,0.0039215686274509,0.00359477124183,0.0341503267973856,0.0038398692810457,0.0032679738562091,0.0034313725490196,0.0033496732026143,0.004656862745098,0.0045751633986928,0.0056372549019607,0.0043300653594771,0.0033496732026143,0.0033496732026143,0.0034313725490196,0.00359477124183,0.0032679738562091,0.00359477124183,0.0033496732026143,0.0043300653594771,0.0034313725490196,0.0036764705882352,0.0044934640522875,0.0040849673202614,0.0035130718954248,0.0039215686274509,0.00359477124183,0.0040849673202614,0.0032679738562091,0.0032679738562091,0.0034313725490196,0.0033496732026143,0.0032679738562091,0.0033496732026143,0.0033496732026143,0.0040032679738562,0.0037581699346405,0.00359477124183,0.0032679738562091,0.0041666666666666,0.0032679738562091,0.003378378378378379,1.98072138043334,-0.105661181146911,-1.18344235214673,0.779580565133228,0.0322611646885128,3.49640166564178,-2.42876116064753,1.28994859157014,0.065351880804863,-1.22861380658436,2.00513925219274,0.5830838442933,1.1202204606626,1.84437051199117,0.473706752918236,1.02684159870306,-1.20718843879715,0.028854373336477,0.173793212190352,0.957467803444853,1.65593493808557,-0.0466633486234646,-0.124881152853212,-0.135105721173007,0.274080089428528,-0.141663248057445,-0.624062155979681,0.0192749662761304,-0.33416393720166,0.0677186412246954
-0.028254804,2016-01-18,0.005,0.0029411764705882,0.0079411764705882,0.00375,0.0044117647058823,0.0035294117647058,0.0061764705882352,0.035735294117647,0.0036764705882352,0.0033088235294117,0.0247794117647058,0.0065441176470588,0.0075,0.0094117647058823,0.0086029411764705,0.0035294117647058,0.0522058823529411,0.0036764705882352,0.0036029411764705,0.0219117647058823,0.0043382352941176,0.0040441176470588,0.0047058823529411,0.0029411764705882,0.0033823529411764,0.0039705882352941,0.0059558823529411,0.03125,0.0077205882352941,0.0039705882352941,0.0046323529411764,0.0038235294117647,0.0036764705882352,0.00375,0.0048529411764705,0.0038235294117647,0.0063970588235294,0.00625,0.0038235294117647,0.0058088235294117,0.0644117647058823,0.0030147058823529,0.0063970588235294,0.0192647058823529,0.0223529411764705,0.0030882352941176,0.0045588235294117,0.0031617647058823,0.0108823529411764,0.0035294117647058,0.0163235294117647,0.0042647058823529,0.0069117647058823,0.0042647058823529,0.0035294117647058,0.0165441176470588,0.0035294117647058,0.0036764705882352,0.0043382352941176,0.00625,0.0151470588235294,0.0034558823529411,0.0030147058823529,0.05375,0.0033823529411764,0.1521323529411765,0.0056617647058823,0.0068382352941176,0.0036029411764705,0.0068382352941176,0.0040441176470588,0.0208823529411764,0.0045588235294117,0.0055147058823529,0.0051470588235294,0.003235294117647,0.0031617647058823,0.0047794117647058,0.0096323529411764,0.0249264705882352,0.005735294117647,0.0041176470588235,0.0041176470588235,0.0051470588235294,0.0035294117647058,0.0036764705882352,0.004485294117647,0.0093382352941176,0.0030147058823529,0.0033088235294117,0.0036029411764705,0.0165441176470588,0.0055882352941176,0.0036764705882352,0.003235294117647,0.0030882352941176,0.0056617647058823,0.0036029411764705,0.0136029411764705,0.0075735294117647,0.006186552239183819,-3.87280863700265,3.83205113616199,1.66493102256424,-1.59891247660363,-3.05628868590059,1.75559487248142,-0.805672255274053,1.35555611897037,-0.870087467291427,1.35845893933814,-0.316200115445569,-1.23037094373106,1.32095004262476,-1.22864080082867,0.20170339668993,2.30621207153614,0.969565315230957,-0.719178009466382,0.302067132648742,-1.74812736328825,4.49535529905708,-0.561856130654826,-2.44998690023815,1.70296591685571,0.0276795199991475,-0.438806939643916,-0.0583307583806985,-0.9825872568873,-0.0053117759436197,-0.172842502975952
0.047631985,2016-01-19,0.0015094339622641,0.0014150943396226,0.0385613207547169,0.0014150943396226,0.0054952830188679,0.0013679245283018,0.0104245283018867,0.0096226415094339,0.0017688679245283,0.00125,0.0277830188679245,0.0027358490566037,0.0235613207547169,0.0052358490566037,0.0072641509433962,0.0047877358490566,0.0397877358490566,0.0015094339622641,0.0122641509433962,0.0040801886792452,0.0115094339622641,0.0029009433962264,0.0052830188679245,0.0011792452830188,0.0011320754716981,0.0019575471698113,0.0019811320754716,0.0011084905660377,0.0042216981132075,0.0012735849056603,0.0029245283018867,0.0038915094339622,0.0067924528301886,0.0046462264150943,0.0234669811320754,0.0193396226415094,0.0038915094339622,0.0023113207547169,0.0015094339622641,0.0058254716981132,0.1125707547169811,0.0014858490566037,0.1211084905660377,0.0021698113207547,0.0015094339622641,0.0067452830188679,0.015943396226415,0.0015094339622641,0.0067688679245283,0.0142452830188679,0.0140094339622641,0.0016037735849056,0.0016037735849056,0.0025235849056603,0.0540094339622641,0.0033962264150943,0.0010849056603773,0.0014150943396226,0.0016745283018867,0.0016981132075471,0.0140801886792452,0.0012971698113207,0.0058254716981132,0.0057783018867924,0.0021698113207547,0.1005896226415094,0.0020754716981132,0.0319339622641509,0.0366745283018867,0.0027594339622641,0.0014150943396226,0.0045283018867924,0.0015566037735849,0.005377358490566,0.0021698113207547,0.0021226415094339,0.0010613207547169,0.0023820754716981,0.002688679245283,0.0015566037735849,0.0047877358490566,0.0026415094339622,0.0024528301886792,0.0012971698113207,0.0020754716981132,0.0014858490566037,0.0013443396226415,0.0012028301886792,0.0011792452830188,0.0011792452830188,0.0015566037735849,0.0144811320754716,0.0021462264150943,0.0115330188679245,0.0041037735849056,0.0014622641509433,0.0029009433962264,0.0013443396226415,0.030566037735849,0.0061556603773584,-0.002157281569014886,-3.43372977205625,5.30434824851005,0.536508940959869,-3.58066121170772,-3.90004636641296,1.72308023207812,-1.00456282796487,4.17555088603269,-1.68376187152651,3.88355711245507,-1.24543984834391,0.874356073029707,0.620892326548173,-0.443523119017831,0.501291866464115,-0.662405901035789,-0.396121882725718,-0.437858821251887,0.408853826876227,-2.71558114086104,-0.463014840889564,-0.250751403087862,0.706713721491758,-0.909962253075831,0.126646091124355,0.169796053982513,-0.337590690872641,0.198621960995586,0.0407721938125329,-0.353483792440691
-0.032062895,2016-01-20,0.0006508264462809,0.0045247933884297,0.0255785123966942,0.0048760330578512,0.0036363636363636,0.0007954545454545,0.0089669421487603,0.0716219008264462,0.0010640495867768,0.0019938016528925,0.0338016528925619,0.0010847107438016,0.0161570247933884,0.0194111570247933,0.0051549586776859,0.0082128099173553,0.0480371900826446,0.0052272727272727,0.0111776859504132,0.0118595041322314,0.0140702479338843,0.0013119834710743,0.000599173553719,0.0061880165289256,0.0010640495867768,0.0007747933884297,0.0050516528925619,0.0019834710743801,0.0293285123966942,0.001043388429752,0.0162499999999999,0.0022107438016528,0.012396694214876,0.0010227272727272,0.001146694214876,0.0052169421487603,0.004090909090909,0.0064979338842975,0.0028099173553719,0.0429235537190082,0.0663533057851239,0.0020351239669421,0.01,0.0077582644628099,0.0038223140495867,0.0100206611570247,0.0062706611570247,0.002840909090909,0.001198347107438,0.0008780991735537,0.0047623966942148,0.0026342975206611,0.0015185950413223,0.0011776859504132,0.0411053719008264,0.0052582644628099,0.0007851239669421,0.0010847107438016,0.0017665289256198,0.0113533057851239,0.0165392561983471,0.0038326446280991,0.0152685950413223,0.0186880165289256,0.010547520661157,0.0539462809917355,0.0049793388429752,0.017345041322314,0.0145041322314049,0.0033367768595041,0.0024380165289256,0.0019628099173553,0.0007747933884297,0.001095041322314,0.0034710743801652,0.0034607438016528,0.0008884297520661,0.0009814049586776,0.0020454545454545,0.0133057851239669,0.0080061983471074,0.0011880165289256,0.0027066115702479,0.0140702479338842,0.0019524793388429,0.0069008264462809,0.0022004132231404,0.0010537190082644,0.0016632231404958,0.0010743801652892,0.0086053719008264,0.0213223140495867,0.0023657024793388,0.0332644628099173,0.0303099173553718,0.0017148760330578,0.0007334710743801,0.0009710743801652,0.0437293388429752,0.0043181818181818,-0.005330508626991606,-1.37369517215771,5.0703199152756,0.0960135667182466,-1.47468819827573,-2.11444604553219,0.740318946044229,-0.634567976262183,1.4234285960899,-0.332068384361705,1.58011833511983,-0.857435334228627,0.153233651244397,1.87994513755028,0.235620153551983,0.117505608671439,-0.621505894924979,0.449934263886531,-0.497789279562709,0.551463199879586,-1.29910949205157,-1.91867881837184,-0.832525061035789,1.57857382166638,-0.998436945989955,-0.0081831394651468,0.218649912288199,0.0549520753071669,0.395799786321511,-0.0289513095955509,-0.344446777736318
0.014164477,2016-01-21,0.0013856812933025,0.0014434180138568,0.0089203233256351,0.0006351039260969,0.0013953040800615,0.0019630484988452,0.0090165511932255,0.0280792917628945,0.0013664357197844,0.0017802155504234,0.0568033102386451,0.0007217090069284,0.0549942263279445,0.0129137798306389,0.0017224788298691,0.003185142417244,0.0478156274056966,0.0011836027713625,0.0030311778290993,0.0244130100076982,0.0149345650500384,0.0262509622786759,0.0012124711316397,0.0007217090069284,0.0037143956889915,0.0006158583525789,0.0084295612009237,0.0016070053887605,0.0138183217859892,0.000866050808314,0.0128560431100846,0.0012702078521939,0.0019534257120862,0.0030215550423402,0.003185142417244,0.0094880677444187,0.0049942263279445,0.0018956889915319,0.0117109314857582,0.0086220169361046,0.0823133179368745,0.0008756735950731,0.0121150885296381,0.0154926866820631,0.0126732101616628,0.0322748267898383,0.0037143956889915,0.0065627405696689,0.0014819091608929,0.0030985373364126,0.0143475750577367,0.0010296381832178,0.0011258660508083,0.0006158583525789,0.0121247113163972,0.0060334872979214,0.0044168591224018,0.0018187066974595,0.0008275596612779,0.0381351039260969,0.0063510392609699,0.0037528868360277,0.002338337182448,0.058487297921478,0.0122209391839876,0.0631735950731331,0.0044361046959199,0.0149345650500384,0.0157525019245573,0.0013568129330254,0.0018379522709776,0.0084488067744418,0.0006062355658198,0.0006062355658198,0.0053791377983063,0.0022998460354118,0.0047151655119322,0.0046574287913779,0.0109892224788298,0.005311778290993,0.0027906081601231,0.0016743648960739,0.0018571978444957,0.0009237875288683,0.0036374133949191,0.0009045419553502,0.0024441878367975,0.0082948421862971,0.0070535026943802,0.0010585065434949,0.0016262509622786,0.007217090069284,0.0021073903002309,0.0283679753656658,0.0011932255581216,0.0056870669745958,0.0009045419553502,0.0005196304849884,0.0433698999230177,0.0056966897613548,0.009215497719358817,-3.39203735565085,5.70797061812197,0.778029383433494,-1.8025163867229,-1.37423034899459,1.0421841303316,-0.875423909136028,1.57806343159506,0.0113377177316475,2.38746259529159,-0.805598153644122,-0.100169996773105,1.39090728434856,-1.65572937380452,0.658264121630893,0.871869331856456,0.0725056012108301,-1.43951223170235,0.100022309976359,-0.328972179344489,6.12632563113702,0.221194428005536,-3.92129228304574,1.91124281013713,-0.243493800066797,-0.943413889551182,-0.548611588867561,-0.809437335986587,0.0318385587227757,0.951185016203138
0.023239218,2016-01-22,0.0063271604938271,0.0066358024691358,0.0106481481481481,0.0080246913580246,0.0064814814814814,0.0063271604938271,0.0083333333333333,0.0069444444444444,0.0089506172839506,0.0061728395061728,0.0083333333333333,0.0063271604938271,0.0211419753086419,0.0214506172839506,0.0118827160493827,0.0069444444444444,0.0143518518518518,0.0075617283950617,0.0069444444444444,0.040895061728395,0.0061728395061728,0.007253086419753,0.0149691358024691,0.0074074074074074,0.0061728395061728,0.0067901234567901,0.0078703703703703,0.0069444444444444,0.0069444444444444,0.0087962962962962,0.0067901234567901,0.0063271604938271,0.0069444444444444,0.0070987654320987,0.0091049382716049,0.0094135802469135,0.0100308641975308,0.0069444444444444,0.0064814814814814,0.0061728395061728,0.0179012345679012,0.0064814814814814,0.0066358024691358,0.0098765432098765,0.0177469135802469,0.0075617283950617,0.0070987654320987,0.0069444444444444,0.0063271604938271,0.015432098765432,0.0066358024691358,0.0075617283950617,0.0070987654320987,0.0061728395061728,0.0064814814814814,0.0086419753086419,0.0066358024691358,0.0141975308641975,0.007716049382716,0.0061728395061728,0.0675925925925925,0.0061728395061728,0.0061728395061728,0.0700617283950617,0.0149691358024691,0.0092592592592592,0.0083333333333333,0.0063271604938271,0.0084876543209876,0.0061728395061728,0.0063271604938271,0.0063271604938271,0.0064814814814814,0.0063271604938271,0.0064814814814814,0.0061728395061728,0.0061728395061728,0.0092592592592592,0.0067901234567901,0.0175925925925925,0.0104938271604938,0.0078703703703703,0.0064814814814814,0.0152777777777777,0.0061728395061728,0.0067901234567901,0.0064814814814814,0.0069444444444444,0.0063271604938271,0.0064814814814814,0.0086419753086419,0.0128086419753086,0.0083333333333333,0.0066358024691358,0.0070987654320987,0.0063271604938271,0.0103395061728395,0.007253086419753,0.0066358024691358,0.0104938271604938,0.01282051282051282,-2.74585934336386,1.23584934275311,0.3847451572777,0.194243966901048,-1.90878155210216,0.11562025794548,0.758263549677727,-0.732366777768238,-0.926599472410404,-0.209838626948433,0.404570558027346,-0.509391941424255,0.782122459554781,-0.75976648150345,-0.365200982995477,0.921117540961776,0.81586951295501,0.0754111767095771,0.729328524165585,0.126235863333699,7.75790949883532,-1.37354482476916,-2.54114369332512,0.774385656716489,-0.143130487646765,-0.170342079547962,-0.111107815922751,-1.06906487293458,0.548849718844399,-0.517450245009606
0.018760489,2016-01-25,0.0063271604938271,0.0066358024691358,0.0106481481481481,0.0080246913580246,0.0064814814814814,0.0063271604938271,0.0083333333333333,0.0069444444444444,0.0089506172839506,0.0061728395061728,0.0083333333333333,0.0063271604938271,0.0211419753086419,0.0214506172839506,0.0118827160493827,0.0069444444444444,0.0143518518518518,0.0075617283950617,0.0069444444444444,0.040895061728395,0.0061728395061728,0.007253086419753,0.0149691358024691,0.0074074074074074,0.0061728395061728,0.0067901234567901,0.0078703703703703,0.0069444444444444,0.0069444444444444,0.0087962962962962,0.0067901234567901,0.0063271604938271,0.0069444444444444,0.0070987654320987,0.0091049382716049,0.0094135802469135,0.0100308641975308,0.0069444444444444,0.0064814814814814,0.0061728395061728,0.0179012345679012,0.0064814814814814,0.0066358024691358,0.0098765432098765,0.0177469135802469,0.0075617283950617,0.0070987654320987,0.0069444444444444,0.0063271604938271,0.015432098765432,0.0066358024691358,0.0075617283950617,0.0070987654320987,0.0061728395061728,0.0064814814814814,0.0086419753086419,0.0066358024691358,0.0141975308641975,0.007716049382716,0.0061728395061728,0.0675925925925925,0.0061728395061728,0.0061728395061728,0.0700617283950617,0.0149691358024691,0.0092592592592592,0.0083333333333333,0.0063271604938271,0.0084876543209876,0.0061728395061728,0.0063271604938271,0.0063271604938271,0.0064814814814814,0.0063271604938271,0.0064814814814814,0.0061728395061728,0.0061728395061728,0.0092592592592592,0.0067901234567901,0.0175925925925925,0.0104938271604938,0.0078703703703703,0.0064814814814814,0.0152777777777777,0.0061728395061728,0.0067901234567901,0.0064814814814814,0.0069444444444444,0.0063271604938271,0.0064814814814814,0.0086419753086419,0.0128086419753086,0.0083333333333333,0.0066358024691358,0.0070987654320987,0.0063271604938271,0.0103395061728395,0.007253086419753,0.0066358024691358,0.0104938271604938,0.01282051282051282,-2.74585934336386,1.23584934275311,0.384745157277697,0.194243966901046,-1.90878155210215,0.115620257945475,0.758263549677722,-0.732366777768234,-0.926599472410406,-0.209838626948427,0.40457055802735,-0.509391941424255,0.782122459554781,-0.759766481503449,-0.365200982995478,0.92111754096178,0.815869512955016,0.0754111767095787,0.729328524165588,0.126235863333704,7.75790949883534,-1.37354482476917,-2.54114369332514,0.774385656716494,-0.143130487646775,-0.170342079547964,-0.111107815922756,-1.06906487293459,0.548849718844408,-0.51745024500961
-0.01665798,2016-01-26,0.0063271604938271,0.0066358024691358,0.0106481481481481,0.0080246913580246,0.0064814814814814,0.0063271604938271,0.0083333333333333,0.0069444444444444,0.0089506172839506,0.0061728395061728,0.0083333333333333,0.0063271604938271,0.0211419753086419,0.0214506172839506,0.0118827160493827,0.0069444444444444,0.0143518518518518,0.0075617283950617,0.0069444444444444,0.040895061728395,0.0061728395061728,0.007253086419753,0.0149691358024691,0.0074074074074074,0.0061728395061728,0.0067901234567901,0.0078703703703703,0.0069444444444444,0.0069444444444444,0.0087962962962962,0.0067901234567901,0.0063271604938271,0.0069444444444444,0.0070987654320987,0.0091049382716049,0.0094135802469135,0.0100308641975308,0.0069444444444444,0.0064814814814814,0.0061728395061728,0.0179012345679012,0.0064814814814814,0.0066358024691358,0.0098765432098765,0.0177469135802469,0.0075617283950617,0.0070987654320987,0.0069444444444444,0.0063271604938271,0.015432098765432,0.0066358024691358,0.0075617283950617,0.0070987654320987,0.0061728395061728,0.0064814814814814,0.0086419753086419,0.0066358024691358,0.0141975308641975,0.007716049382716,0.0061728395061728,0.0675925925925925,0.0061728395061728,0.0061728395061728,0.0700617283950617,0.0149691358024691,0.0092592592592592,0.0083333333333333,0.0063271604938271,0.0084876543209876,0.0061728395061728,0.0063271604938271,0.0063271604938271,0.0064814814814814,0.0063271604938271,0.0064814814814814,0.0061728395061728,0.0061728395061728,0.0092592592592592,0.0067901234567901,0.0175925925925925,0.0104938271604938,0.0078703703703703,0.0064814814814814,0.0152777777777777,0.0061728395061728,0.0067901234567901,0.0064814814814814,0.0069444444444444,0.0063271604938271,0.0064814814814814,0.0086419753086419,0.0128086419753086,0.0083333333333333,0.0066358024691358,0.0070987654320987,0.0063271604938271,0.0103395061728395,0.007253086419753,0.0066358024691358,0.0104938271604938,0.01282051282051282,-2.74585934336386,1.23584934275311,0.384745157277692,0.194243966901053,-1.90878155210215,0.115620257945479,0.758263549677724,-0.732366777768234,-0.926599472410404,-0.209838626948429,0.404570558027349,-0.509391941424254,0.782122459554782,-0.75976648150345,-0.365200982995479,0.921117540961779,0.815869512955013,0.0754111767095767,0.729328524165585,0.126235863333702,7.75790949883531,-1.37354482476916,-2.54114369332513,0.774385656716496,-0.143130487646788,-0.17034207954796,-0.11110781592275,-1.06906487293458,0.548849718844396,-0.517450245009608
